temperature,humidity,co2
25.75,58.54,887
25.76,58.58,857
25.75,58.64,864
25.75,58.7,863
25.75,58.76,851
25.75,58.82,844
25.75,58.86,838
25.75,58.9,836
25.75,58.92,804
25.74,58.97,794
25.74,59.0,791
25.73,59.02,782
25.73,59.05,771
25.74,59.06,755
25.73,59.08,775
25.73,59.09,740
25.73,59.12,744
25.72,59.13,718
25.72,59.15,715
25.72,59.17,711
25.72,59.19,696
25.71,59.21,697
25.71,59.22,692
25.7,59.26,697
25.7,59.27,682
25.7,59.28,679
25.7,59.3,668
25.7,59.28,664
25.7,59.29,676
25.69,59.3,667
25.69,59.3,658
25.68,59.3,652
25.68,59.31,654
25.68,59.29,642
25.68,59.29,605
25.67,59.29,602
25.67,59.31,600
25.67,59.3,584
25.67,59.32,581
25.66,59.33,577
25.67,59.33,585
25.66,59.36,578
25.66,59.39,558
25.65,59.44,562
25.64,59.48,569
25.64,59.48,560
25.64,59.52,550
25.64,59.55,526
25.64,59.58,546
25.63,59.76,535
25.62,59.81,516
25.61,59.86,532
25.61,59.93,534
25.61,59.98,512
25.6,60.02,519
25.59,60.13,512
25.59,60.25,506
25.58,60.3,491
25.57,60.31,512
25.57,60.28,501
25.57,60.29,510
25.55,60.3,497
25.55,60.31,491
25.54,60.35,485
25.54,60.35,480
25.54,60.33,481
25.54,60.32,482
25.53,60.33,484
25.53,60.35,470
25.52,60.36,473
25.52,60.38,459
25.51,60.43,468
25.51,60.47,463
25.5,60.57,464
25.49,60.63,470
25.48,60.67,481
25.48,60.7,473
25.49,60.71,469
25.48,60.76,454
25.48,60.78,457
25.46,60.87,445
25.45,60.93,436
25.45,61.04,448
25.44,61.03,440
25.43,61.15,448
25.42,61.2,452
25.43,61.12,442
25.44,61.14,459
25.44,61.06,446
25.44,61.12,453
25.44,61.19,455
25.44,61.19,447
25.43,61.34,454
25.42,61.26,444
25.43,61.14,467
25.42,61.33,442
25.4,61.48,436
25.4,61.51,446
25.38,61.59,431
25.38,61.62,439
25.38,61.67,445
25.38,61.61,449
25.39,61.57,440
25.39,61.59,438
25.39,61.61,460
25.39,61.67,451
25.38,61.75,439
25.37,61.77,446
25.36,61.78,456
25.36,61.8,440
25.36,61.81,453
25.35,61.79,431
25.34,61.8,439
25.34,61.79,434
25.34,61.78,452
25.34,61.8,442
25.33,61.83,438
25.34,61.78,444
25.34,61.77,444
25.36,61.74,445
25.36,61.8,425
25.36,61.81,439
25.36,61.78,441
25.36,61.72,440
25.37,61.65,451
25.32,61.02,451
24.87,59.92,457
24.66,62.27,466
24.7,64.88,488
24.81,66.28,530
25.03,66.59,598
25.19,65.03,686
24.81,60.63,761
24.36,57.28,851
24.11,57.22,911
24.06,55.79,948
23.84,53.67,1001
23.89,55.2,1102
23.86,53.0,1161
23.7,52.06,1200
23.77,52.77,1256
23.69,50.39,1321
23.53,50.63,1375
23.65,50.92,1420
23.56,49.06,1440
23.71,49.09,1305
23.79,48.53,1100
23.73,46.86,900
23.86,48.17,784
23.7,47.14,819
23.55,47.43,940
23.67,49.08,1064
23.55,47.83,1172
23.52,49.45,1296
23.7,49.37,1385
23.56,48.21,1470
23.72,50.08,1555
23.79,49.02,1673
23.71,48.38,1764
23.85,49.87,1801
23.86,48.23,1879
23.8,48.5,1930
23.9,49.23,1985
23.76,47.23,2038
23.69,49.01,2005
23.7,47.91,2048
23.47,46.63,2034
23.55,48.2,1931
23.69,45.72,1671
23.63,46.49,1699
23.86,48.44,1874
23.95,46.99,1964
23.97,47.91,2028
24.08,48.26,2124
24.01,46.7,2177
24.02,48.7,2208
24.06,47.73,2318
